"movieId","provider_id","provider_name","type"
222,,,"buy"
223,2,"Apple iTunes","buy"
224,2,"Apple iTunes","buy"
224,3,"Google Play Movies","buy"
225,2,"Apple iTunes","buy"
225,3,"Google Play Movies","buy"
226,,,"buy"
227,3,"Google Play Movies","buy"
228,,,"buy"
229,,,"buy"
230,2,"Apple iTunes","buy"
230,3,"Google Play Movies","buy"
231,2,"Apple iTunes","buy"
231,3,"Google Play Movies","buy"
232,,,"buy"
233,,,"buy"
234,,,"buy"
235,3,"Google Play Movies","buy"
236,,,"buy"
237,2,"Apple iTunes","buy"
237,3,"Google Play Movies","buy"
238,,,"buy"
239,,,"buy"
240,,,"buy"
241,2,"Apple iTunes","buy"
242,,,"buy"
243,,,"buy"
244,,,"buy"
245,,,"buy"
246,,,"buy"
247,,,"buy"
248,,,"buy"
249,,,"buy"
250,,,"buy"
251,,,"buy"
252,,,"buy"
253,2,"Apple iTunes","buy"
253,3,"Google Play Movies","buy"
254,,,"buy"
255,,,"buy"
256,2,"Apple iTunes","buy"
256,3,"Google Play Movies","buy"
257,2,"Apple iTunes","buy"
257,3,"Google Play Movies","buy"
258,,,"buy"
259,,,"buy"
260,3,"Google Play Movies","buy"
261,2,"Apple iTunes","buy"
261,3,"Google Play Movies","buy"
262,2,"Apple iTunes","buy"
262,3,"Google Play Movies","buy"
263,,,"buy"
264,,,"buy"
265,2,"Apple iTunes","buy"
266,2,"Apple iTunes","buy"
266,3,"Google Play Movies","buy"
267,2,"Apple iTunes","buy"
267,3,"Google Play Movies","buy"
268,,,"buy"
269,,,"buy"
270,2,"Apple iTunes","buy"
271,2,"Apple iTunes","buy"
271,3,"Google Play Movies","buy"
272,3,"Google Play Movies","buy"
273,2,"Apple iTunes","buy"
273,3,"Google Play Movies","buy"
274,,,"buy"
275,,,"buy"
276,2,"Apple iTunes","buy"
276,3,"Google Play Movies","buy"
277,,,"buy"
278,,,"buy"
279,,,"buy"
280,,,"buy"
281,,,"buy"
282,,,"buy"
283,,,"buy"
284,,,"buy"
285,,,"buy"
286,,,"buy"
287,,,"buy"
288,2,"Apple iTunes","buy"
289,2,"Apple iTunes","buy"
289,3,"Google Play Movies","buy"
290,,,"buy"
292,2,"Apple iTunes","buy"
292,3,"Google Play Movies","buy"
293,,,"buy"
294,,,"buy"
295,,,"buy"
296,2,"Apple iTunes","buy"
297,,,"buy"
298,,,"buy"
299,,,"buy"
300,,,"buy"
301,,,"buy"
302,,,"buy"
303,2,"Apple iTunes","buy"
303,3,"Google Play Movies","buy"
304,,,"buy"
305,,,"buy"
306,,,"buy"
307,,,"buy"
308,,,"buy"
309,,,"buy"
310,2,"Apple iTunes","buy"
311,,,"buy"
312,,,"buy"
