"movieId","provider_id","provider_name","type"
216,2,"Apple iTunes","rent"
216,3,"Google Play Movies","rent"
216,167,"Claro video","rent"
217,,,"rent"
218,,,"rent"
219,,,"rent"
220,,,"rent"
222,,,"rent"
223,2,"Apple iTunes","rent"
224,2,"Apple iTunes","rent"
224,3,"Google Play Movies","rent"
225,2,"Apple iTunes","rent"
225,3,"Google Play Movies","rent"
226,,,"rent"
227,3,"Google Play Movies","rent"
228,,,"rent"
229,,,"rent"
230,2,"Apple iTunes","rent"
230,3,"Google Play Movies","rent"
231,2,"Apple iTunes","rent"
231,3,"Google Play Movies","rent"
232,,,"rent"
233,,,"rent"
234,,,"rent"
235,3,"Google Play Movies","rent"
236,,,"rent"
237,2,"Apple iTunes","rent"
237,3,"Google Play Movies","rent"
238,,,"rent"
239,,,"rent"
240,,,"rent"
241,2,"Apple iTunes","rent"
242,,,"rent"
243,,,"rent"
244,,,"rent"
245,,,"rent"
246,,,"rent"
247,,,"rent"
248,,,"rent"
249,,,"rent"
250,,,"rent"
251,,,"rent"
252,,,"rent"
253,2,"Apple iTunes","rent"
253,3,"Google Play Movies","rent"
253,167,"Claro video","rent"
254,,,"rent"
255,,,"rent"
256,2,"Apple iTunes","rent"
256,3,"Google Play Movies","rent"
256,167,"Claro video","rent"
257,2,"Apple iTunes","rent"
257,3,"Google Play Movies","rent"
258,,,"rent"
259,,,"rent"
260,3,"Google Play Movies","rent"
261,2,"Apple iTunes","rent"
261,167,"Claro video","rent"
262,2,"Apple iTunes","rent"
262,3,"Google Play Movies","rent"
262,167,"Claro video","rent"
263,,,"rent"
264,,,"rent"
265,2,"Apple iTunes","rent"
265,167,"Claro video","rent"
266,,,"rent"
267,2,"Apple iTunes","rent"
267,3,"Google Play Movies","rent"
267,167,"Claro video","rent"
268,,,"rent"
269,,,"rent"
270,2,"Apple iTunes","rent"
271,2,"Apple iTunes","rent"
271,3,"Google Play Movies","rent"
272,3,"Google Play Movies","rent"
273,167,"Claro video","rent"
274,,,"rent"
275,,,"rent"
276,2,"Apple iTunes","rent"
276,3,"Google Play Movies","rent"
277,,,"rent"
278,,,"rent"
279,,,"rent"
280,,,"rent"
281,,,"rent"
282,,,"rent"
283,,,"rent"
284,,,"rent"
285,,,"rent"
286,,,"rent"
287,,,"rent"
288,,,"rent"
289,167,"Claro video","rent"
290,,,"rent"
292,2,"Apple iTunes","rent"
292,3,"Google Play Movies","rent"
292,167,"Claro video","rent"
293,167,"Claro video","rent"
294,,,"rent"
295,,,"rent"
296,2,"Apple iTunes","rent"
296,167,"Claro video","rent"
297,,,"rent"
298,,,"rent"
299,,,"rent"
300,,,"rent"
301,,,"rent"
302,167,"Claro video","rent"
303,,,"rent"
304,,,"rent"
305,167,"Claro video","rent"
306,,,"rent"
307,,,"rent"
308,,,"rent"
309,,,"rent"
310,2,"Apple iTunes","rent"
311,,,"rent"
312,,,"rent"
313,167,"Claro video","rent"
314,,,"rent"
315,2,"Apple iTunes","rent"
315,3,"Google Play Movies","rent"
316,,,"rent"
317,3,"Google Play Movies","rent"
318,2,"Apple iTunes","rent"
318,3,"Google Play Movies","rent"
318,167,"Claro video","rent"
319,,,"rent"
320,,,"rent"
321,,,"rent"
322,,,"rent"
324,,,"rent"
325,,,"rent"
326,,,"rent"
327,,,"rent"
328,2,"Apple iTunes","rent"
