"movieId","provider_id","provider_name","type"
222,,,"flatrate"
223,,,"flatrate"
224,31,"HBO Go","flatrate"
225,384,"HBO Max","flatrate"
226,,,"flatrate"
227,,,"flatrate"
228,,,"flatrate"
229,,,"flatrate"
230,384,"HBO Max","flatrate"
230,339,"Movistar Play","flatrate"
230,31,"HBO Go","flatrate"
231,384,"HBO Max","flatrate"
231,339,"Movistar Play","flatrate"
232,,,"flatrate"
233,,,"flatrate"
234,,,"flatrate"
235,619,"Star Plus","flatrate"
236,,,"flatrate"
237,,,"flatrate"
238,337,"Disney Plus","flatrate"
239,337,"Disney Plus","flatrate"
240,,,"flatrate"
241,,,"flatrate"
242,,,"flatrate"
243,,,"flatrate"
244,,,"flatrate"
245,,,"flatrate"
246,,,"flatrate"
247,,,"flatrate"
248,,,"flatrate"
249,,,"flatrate"
250,337,"Disney Plus","flatrate"
251,,,"flatrate"
252,,,"flatrate"
253,119,"Amazon Prime Video","flatrate"
253,384,"HBO Max","flatrate"
253,339,"Movistar Play","flatrate"
254,,,"flatrate"
255,,,"flatrate"
256,,,"flatrate"
257,,,"flatrate"
258,,,"flatrate"
259,,,"flatrate"
260,337,"Disney Plus","flatrate"
261,8,"Netflix","flatrate"
262,,,"flatrate"
263,,,"flatrate"
264,,,"flatrate"
265,,,"flatrate"
266,,,"flatrate"
267,,,"flatrate"
268,,,"flatrate"
269,,,"flatrate"
270,,,"flatrate"
271,,,"flatrate"
272,,,"flatrate"
273,8,"Netflix","flatrate"
274,,,"flatrate"
275,167,"Claro video","flatrate"
276,,,"flatrate"
277,337,"Disney Plus","flatrate"
278,619,"Star Plus","flatrate"
279,,,"flatrate"
280,,,"flatrate"
281,,,"flatrate"
282,,,"flatrate"
283,,,"flatrate"
284,,,"flatrate"
285,,,"flatrate"
286,,,"flatrate"
287,,,"flatrate"
288,339,"Movistar Play","flatrate"
289,384,"HBO Max","flatrate"
289,339,"Movistar Play","flatrate"
289,31,"HBO Go","flatrate"
290,,,"flatrate"
292,384,"HBO Max","flatrate"
292,339,"Movistar Play","flatrate"
292,31,"HBO Go","flatrate"
293,8,"Netflix","flatrate"
294,,,"flatrate"
295,,,"flatrate"
296,384,"HBO Max","flatrate"
297,,,"flatrate"
298,,,"flatrate"
299,,,"flatrate"
300,619,"Star Plus","flatrate"
301,,,"flatrate"
302,,,"flatrate"
303,,,"flatrate"
304,,,"flatrate"
305,,,"flatrate"
306,11,"Mubi","flatrate"
307,11,"Mubi","flatrate"
308,11,"Mubi","flatrate"
309,,,"flatrate"
310,,,"flatrate"
311,,,"flatrate"
312,,,"flatrate"
313,,,"flatrate"
314,119,"Amazon Prime Video","flatrate"
314,339,"Movistar Play","flatrate"
315,384,"HBO Max","flatrate"
315,339,"Movistar Play","flatrate"
316,,,"flatrate"
317,337,"Disney Plus","flatrate"
318,8,"Netflix","flatrate"
318,384,"HBO Max","flatrate"
318,339,"Movistar Play","flatrate"
319,,,"flatrate"
320,,,"flatrate"
321,,,"flatrate"
322,,,"flatrate"
324,,,"flatrate"
325,,,"flatrate"
326,,,"flatrate"
327,,,"flatrate"
328,,,"flatrate"
329,339,"Movistar Play","flatrate"
330,,,"flatrate"
331,,,"flatrate"
332,,,"flatrate"
333,,,"flatrate"
334,,,"flatrate"
335,,,"flatrate"
336,,,"flatrate"
337,,,"flatrate"
338,,,"flatrate"
339,337,"Disney Plus","flatrate"
340,,,"flatrate"
341,,,"flatrate"
342,,,"flatrate"
343,384,"HBO Max","flatrate"
343,339,"Movistar Play","flatrate"
343,31,"HBO Go","flatrate"
344,384,"HBO Max","flatrate"
344,339,"Movistar Play","flatrate"
345,,,"flatrate"
346,,,"flatrate"
347,,,"flatrate"
348,,,"flatrate"
349,,,"flatrate"
350,,,"flatrate"
351,,,"flatrate"
352,,,"flatrate"
353,,,"flatrate"
354,,,"flatrate"
355,8,"Netflix","flatrate"
355,119,"Amazon Prime Video","flatrate"
355,339,"Movistar Play","flatrate"
356,8,"Netflix","flatrate"
356,119,"Amazon Prime Video","flatrate"
356,531,"Paramount Plus","flatrate"
356,384,"HBO Max","flatrate"
356,339,"Movistar Play","flatrate"
356,167,"Claro video","flatrate"
357,,,"flatrate"
358,,,"flatrate"
359,,,"flatrate"
360,,,"flatrate"
361,,,"flatrate"
